Subject,Distance,Size,Total Errors
s01,32,8,11
s01,32,16,2
s01,64,8,16
s01,64,16,4
s01,96,8,25
s01,96,16,5
s01,128,8,98
s01,128,16,7
s02,32,8,10
s02,32,16,2
s02,64,8,15
s02,64,16,3
s02,96,8,22
s02,96,16,5
s02,128,8,59
s02,128,16,6
s03,32,8,10
s03,32,16,1
s03,64,8,14
s03,64,16,3
s03,96,8,20
s03,96,16,5
s03,128,8,36
s03,128,16,6
s04,32,8,9
s04,32,16,1
s04,64,8,13
s04,64,16,3
s04,96,8,20
s04,96,16,5
s04,128,8,35
s04,128,16,6
s05,32,8,9
s05,32,16,1
s05,64,8,12
s05,64,16,3
s05,96,8,20
s05,96,16,4
s05,128,8,34
s05,128,16,6
s06,32,8,8
s06,32,16,1
s06,64,8,12
s06,64,16,2
s06,96,8,19
s06,96,16,4
s06,128,8,32
s06,128,16,6
s07,32,8,7
s07,32,16,0
s07,64,8,11
s07,64,16,2
s07,96,8,18
s07,96,16,4
s07,128,8,32
s07,128,16,5
s08,32,8,7
s08,32,16,0
s08,64,8,11
s08,64,16,2
s08,96,8,17
s08,96,16,4
s08,128,8,31
s08,128,16,5
s09,32,8,7
s09,32,16,0
s09,64,8,11
s09,64,16,2
s09,96,8,16
s09,96,16,4
s09,128,8,29
s09,128,16,5
s10,32,8,7
s10,32,16,0
s10,64,8,11
s10,64,16,2
s10,96,8,16
s10,96,16,4
s10,128,8,27
s10,128,16,5
