ID;Between;Time;Score;Leftskewed;Rightskewed;Stretched;RealShift;;;;;;
1;2;1;6;40;2;69;45;;;;;N=40;N=10
2;2;1;5;20;4;60;40;;;;;2;1
3;2;1;4;10;10;35;35;;;;;8;20
4;2;1;4;10;10;35;35;;;;;10;31
5;2;1;2;2;40;2;25;;;;;14;57
6;2;1;4;10;10;35;35;;;;;16;71
7;2;1;6;40;2;69;45;;;;;25;93
8;2;1;6;40;2;69;45;;;;;28;175
9;2;1;3;4;20;10;30;;;;;31;182
10;2;1;4;10;10;35;35;;;;;34;193
11;2;1;6;40;2;69;45;;;;;43;196
12;2;1;5;20;4;60;40;;;;;49;
13;2;1;6;40;2;69;45;;;;;55;
14;2;1;7;70;1;70;70;;;;;59;
15;2;1;6;40;2;69;45;;;;;70;
16;2;1;4;10;10;35;35;;;;;72;
17;2;1;4;10;10;35;35;;;;;75;
18;2;1;3;4;20;10;30;;;;;82;
19;2;1;2;2;40;2;25;;;;;99;
20;2;1;3;4;20;10;30;;;;;108;
21;2;1;6;40;2;69;45;;;;;119;
22;2;1;5;20;4;60;40;;;;;122;
23;2;1;4;10;10;35;35;;;;;128;
24;2;1;4;10;10;35;35;;;;;133;
25;2;1;2;2;40;2;25;;;;;142;
26;2;1;4;10;10;35;35;;;;;144;
27;2;1;6;40;2;69;45;;;;;146;
28;2;1;6;40;2;69;45;;;;;150;
29;2;1;3;4;20;10;30;;;;;159;
30;2;1;4;10;10;35;35;;;;;165;
31;2;1;6;40;2;69;45;;;;;167;
32;2;1;5;20;4;60;40;;;;;168;
33;2;1;6;40;2;69;45;;;;;169;
34;2;1;7;70;1;70;70;;;;;170;
35;2;1;6;40;2;69;45;;;;;173;
36;2;1;4;10;10;35;35;;;;;178;
37;2;1;4;10;10;35;35;;;;;179;
38;2;1;3;4;20;10;30;;;;;180;
39;2;1;6;40;2;69;45;;;;;187;
40;2;1;5;20;4;60;40;;;;;192;
41;2;1;4;10;10;35;35;;;;;199;
42;2;1;4;10;10;35;35;;;;;;
43;2;1;1;1;70;1;1;;;;;;
