UserID,RepetitionNo,CDGain,Thickness,Height,Sum(DriftCount)
1,0,1,10,25,7
1,0,1,10,80,26
1,0,1,20,25,1
1,0,1,20,80,12
1,0,1,30,25,0
1,0,1,30,80,5
1,0,1,40,25,0
1,0,1,40,80,2
1,0,10,10,25,2
1,0,10,10,80,3
1,0,10,20,25,0
1,0,10,20,80,4
1,0,10,30,25,0
1,0,10,30,80,0
1,0,10,40,25,0
1,0,10,40,80,0
1,1,1,10,25,3
1,1,1,10,80,26
1,1,1,20,25,11
1,1,1,20,80,9
1,1,1,30,25,1
1,1,1,30,80,1
1,1,1,40,25,0
1,1,1,40,80,1
1,1,10,10,25,5
1,1,10,10,80,5
1,1,10,20,25,0
1,1,10,20,80,6
1,1,10,30,25,0
1,1,10,30,80,1
1,1,10,40,25,0
1,1,10,40,80,0
1,2,1,10,25,0
1,2,1,10,80,29
1,2,1,20,25,2
1,2,1,20,80,9
1,2,1,30,25,0
1,2,1,30,80,3
1,2,1,40,25,0
1,2,1,40,80,2
1,2,10,10,25,4
1,2,10,10,80,6
1,2,10,20,25,0
1,2,10,20,80,3
1,2,10,30,25,0
1,2,10,30,80,0
1,2,10,40,25,0
1,2,10,40,80,2
1,3,1,10,25,5
1,3,1,10,80,37
1,3,1,20,25,0
1,3,1,20,80,7
1,3,1,30,25,0
1,3,1,30,80,2
1,3,1,40,25,0
1,3,1,40,80,1
1,3,10,10,25,0
1,3,10,10,80,8
1,3,10,20,25,0
1,3,10,20,80,3
1,3,10,30,25,0
1,3,10,30,80,2
1,3,10,40,25,0
1,3,10,40,80,0
2,0,1,10,25,3
2,0,1,10,80,33
2,0,1,20,25,4
2,0,1,20,80,12
2,0,1,30,25,0
2,0,1,30,80,3
2,0,1,40,25,0
2,0,1,40,80,7
2,0,10,10,25,0
2,0,10,10,80,7
2,0,10,20,25,0
2,0,10,20,80,11
2,0,10,30,25,0
2,0,10,30,80,0
2,0,10,40,25,0
2,0,10,40,80,1
2,1,1,10,25,23
2,1,1,10,80,32
2,1,1,20,25,2
2,1,1,20,80,16
2,1,1,30,25,0
2,1,1,30,80,8
2,1,1,40,25,3
2,1,1,40,80,5
2,1,10,10,25,0
2,1,10,10,80,12
2,1,10,20,25,4
2,1,10,20,80,8
2,1,10,30,25,0
2,1,10,30,80,3
2,1,10,40,25,4
2,1,10,40,80,0
2,2,1,10,25,9
2,2,1,10,80,33
2,2,1,20,25,3
2,2,1,20,80,10
2,2,1,30,25,1
2,2,1,30,80,10
2,2,1,40,25,0
2,2,1,40,80,11
2,2,10,10,25,0
2,2,10,10,80,3
2,2,10,20,25,11
2,2,10,20,80,8
2,2,10,30,25,3
2,2,10,30,80,2
2,2,10,40,25,0
2,2,10,40,80,1
2,3,1,10,25,9
2,3,1,10,80,33
2,3,1,20,25,0
2,3,1,20,80,15
2,3,1,30,25,1
2,3,1,30,80,6
2,3,1,40,25,0
2,3,1,40,80,3
2,3,10,10,25,0
2,3,10,10,80,8
2,3,10,20,25,0
2,3,10,20,80,7
2,3,10,30,25,1
2,3,10,30,80,0
2,3,10,40,25,1
2,3,10,40,80,1
3,0,1,10,25,19
3,0,1,10,80,48
3,0,1,20,25,8
3,0,1,20,80,10
3,0,1,30,25,62
3,0,1,30,80,19
3,0,1,40,25,0
3,0,1,40,80,1
3,0,10,10,25,11
3,0,10,10,80,12
3,0,10,20,25,7
3,0,10,20,80,4
3,0,10,30,25,7
3,0,10,30,80,9
3,0,10,40,25,13
3,0,10,40,80,30
3,1,1,10,25,9
3,1,1,10,80,40
3,1,1,20,25,4
3,1,1,20,80,7
3,1,1,30,25,0
3,1,1,30,80,41
3,1,1,40,25,0
3,1,1,40,80,1
3,1,10,10,25,25
3,1,10,10,80,2
3,1,10,20,25,3
3,1,10,20,80,4
3,1,10,30,25,20
3,1,10,30,80,6
3,1,10,40,25,7
3,1,10,40,80,13
3,2,1,10,25,15
3,2,1,10,80,38
3,2,1,20,25,2
3,2,1,20,80,14
3,2,1,30,25,41
3,2,1,30,80,16
3,2,1,40,25,0
3,2,1,40,80,3
3,2,10,10,25,43
3,2,10,10,80,11
3,2,10,20,25,0
3,2,10,20,80,3
3,2,10,30,25,15
3,2,10,30,80,1
3,2,10,40,25,20
3,2,10,40,80,13
3,3,1,10,25,22
3,3,1,10,80,45
3,3,1,20,25,4
3,3,1,20,80,15
3,3,1,30,25,21
3,3,1,30,80,22
3,3,1,40,25,1
3,3,1,40,80,8
3,3,10,10,25,6
3,3,10,10,80,15
3,3,10,20,25,2
3,3,10,20,80,4
3,3,10,30,25,17
3,3,10,30,80,16
3,3,10,40,25,56
3,3,10,40,80,3
4,0,1,10,25,0
4,0,1,10,80,14
4,0,1,20,25,0
4,0,1,20,80,6
4,0,1,30,25,0
4,0,1,30,80,3
4,0,1,40,25,0
4,0,1,40,80,2
4,0,10,10,25,2
4,0,10,10,80,2
4,0,10,20,25,0
4,0,10,20,80,2
4,0,10,30,25,0
4,0,10,30,80,1
4,0,10,40,25,0
4,0,10,40,80,0
4,1,1,10,25,0
4,1,1,10,80,34
4,1,1,20,25,1
4,1,1,20,80,4
4,1,1,30,25,0
4,1,1,30,80,2
4,1,1,40,25,0
4,1,1,40,80,1
4,1,10,10,25,0
4,1,10,10,80,3
4,1,10,20,25,0
4,1,10,20,80,2
4,1,10,30,25,0
4,1,10,30,80,0
4,1,10,40,25,1
4,1,10,40,80,3
4,2,1,10,25,1
4,2,1,10,80,34
4,2,1,20,25,0
4,2,1,20,80,6
4,2,1,30,25,1
4,2,1,30,80,0
4,2,1,40,25,1
4,2,1,40,80,1
4,2,10,10,25,0
4,2,10,10,80,3
4,2,10,20,25,0
4,2,10,20,80,0
4,2,10,30,25,0
4,2,10,30,80,0
4,2,10,40,25,0
4,2,10,40,80,0
4,3,1,10,25,1
4,3,1,10,80,30
4,3,1,20,25,0
4,3,1,20,80,6
4,3,1,30,25,0
4,3,1,30,80,3
4,3,1,40,25,1
4,3,1,40,80,0
4,3,10,10,25,3
4,3,10,10,80,1
4,3,10,20,25,0
4,3,10,20,80,0
4,3,10,30,25,0
4,3,10,30,80,0
4,3,10,40,25,0
4,3,10,40,80,1
5,0,1,10,25,4
5,0,1,10,80,63
5,0,1,20,25,2
5,0,1,20,80,19
5,0,1,30,25,2
5,0,1,30,80,6
5,0,1,40,25,2
5,0,1,40,80,2
5,0,10,10,25,4
5,0,10,10,80,8
5,0,10,20,25,1
5,0,10,20,80,2
5,0,10,30,25,2
5,0,10,30,80,0
5,0,10,40,25,0
5,0,10,40,80,0
5,1,1,10,25,7
5,1,1,10,80,39
5,1,1,20,25,0
5,1,1,20,80,14
5,1,1,30,25,0
5,1,1,30,80,3
5,1,1,40,25,0
5,1,1,40,80,1
5,1,10,10,25,1
5,1,10,10,80,16
5,1,10,20,25,2
5,1,10,20,80,0
5,1,10,30,25,0
5,1,10,30,80,0
5,1,10,40,25,2
5,1,10,40,80,3
5,2,1,10,25,1
5,2,1,10,80,40
5,2,1,20,25,0
5,2,1,20,80,6
5,2,1,30,25,2
5,2,1,30,80,1
5,2,1,40,25,0
5,2,1,40,80,0
5,2,10,10,25,0
5,2,10,10,80,6
5,2,10,20,25,0
5,2,10,20,80,0
5,2,10,30,25,0
5,2,10,30,80,0
5,2,10,40,25,0
5,2,10,40,80,0
5,3,1,10,25,0
5,3,1,10,80,25
5,3,1,20,25,0
5,3,1,20,80,4
5,3,1,30,25,0
5,3,1,30,80,4
5,3,1,40,25,0
5,3,1,40,80,2
5,3,10,10,25,0
5,3,10,10,80,2
5,3,10,20,25,1
5,3,10,20,80,0
5,3,10,30,25,0
5,3,10,30,80,0
5,3,10,40,25,0
5,3,10,40,80,1
6,0,1,10,25,0
6,0,1,10,80,66
6,0,1,20,25,2
6,0,1,20,80,28
6,0,1,30,25,5
6,0,1,30,80,17
6,0,1,40,25,1
6,0,1,40,80,14
6,0,10,10,25,0
6,0,10,10,80,40
6,0,10,20,25,31
6,0,10,20,80,6
6,0,10,30,25,0
6,0,10,30,80,16
6,0,10,40,25,0
6,0,10,40,80,0
6,1,1,10,25,2
6,1,1,10,80,81
6,1,1,20,25,6
6,1,1,20,80,44
6,1,1,30,25,11
6,1,1,30,80,20
6,1,1,40,25,1
6,1,1,40,80,13
6,1,10,10,25,0
6,1,10,10,80,36
6,1,10,20,25,4
6,1,10,20,80,13
6,1,10,30,25,0
6,1,10,30,80,6
6,1,10,40,25,0
6,1,10,40,80,3
6,2,1,10,25,20
6,2,1,10,80,45
6,2,1,20,25,6
6,2,1,20,80,23
6,2,1,30,25,5
6,2,1,30,80,10
6,2,1,40,25,18
6,2,1,40,80,14
6,2,10,10,25,0
6,2,10,10,80,33
6,2,10,20,25,2
6,2,10,20,80,16
6,2,10,30,25,0
6,2,10,30,80,8
6,2,10,40,25,0
6,2,10,40,80,8
6,3,1,10,25,38
6,3,1,10,80,74
6,3,1,20,25,9
6,3,1,20,80,25
6,3,1,30,25,29
6,3,1,30,80,24
6,3,1,40,25,21
6,3,1,40,80,13
6,3,10,10,25,0
6,3,10,10,80,51
6,3,10,20,25,0
6,3,10,20,80,7
6,3,10,30,25,0
6,3,10,30,80,0
6,3,10,40,25,0
6,3,10,40,80,1
7,0,1,10,25,46
7,0,1,10,80,67
7,0,1,20,25,0
7,0,1,20,80,35
7,0,1,30,25,9
7,0,1,30,80,28
7,0,1,40,25,0
7,0,1,40,80,6
7,0,10,10,25,5
7,0,10,10,80,32
7,0,10,20,25,0
7,0,10,20,80,7
7,0,10,30,25,1
7,0,10,30,80,2
7,0,10,40,25,29
7,0,10,40,80,5
7,1,1,10,25,2
7,1,1,10,80,51
7,1,1,20,25,2
7,1,1,20,80,21
7,1,1,30,25,17
7,1,1,30,80,15
7,1,1,40,25,0
7,1,1,40,80,0
7,1,10,10,25,2
7,1,10,10,80,13
7,1,10,20,25,6
7,1,10,20,80,15
7,1,10,30,25,32
7,1,10,30,80,7
7,1,10,40,25,12
7,1,10,40,80,7
7,2,1,10,25,16
7,2,1,10,80,52
7,2,1,20,25,0
7,2,1,20,80,27
7,2,1,30,25,43
7,2,1,30,80,15
7,2,1,40,25,0
7,2,1,40,80,14
7,2,10,10,25,21
7,2,10,10,80,6
7,2,10,20,25,16
7,2,10,20,80,6
7,2,10,30,25,25
7,2,10,30,80,0
7,2,10,40,25,45
7,2,10,40,80,2
7,3,1,10,25,13
7,3,1,10,80,96
7,3,1,20,25,31
7,3,1,20,80,30
7,3,1,30,25,0
7,3,1,30,80,17
7,3,1,40,25,0
7,3,1,40,80,3
7,3,10,10,25,1
7,3,10,10,80,6
7,3,10,20,25,3
7,3,10,20,80,8
7,3,10,30,25,6
7,3,10,30,80,0
7,3,10,40,25,3
7,3,10,40,80,1
8,0,1,10,25,11
8,0,1,10,80,26
8,0,1,20,25,2
8,0,1,20,80,3
8,0,1,30,25,1
8,0,1,30,80,1
8,0,1,40,25,10
8,0,1,40,80,1
8,0,10,10,25,1
8,0,10,10,80,12
8,0,10,20,25,0
8,0,10,20,80,3
8,0,10,30,25,1
8,0,10,30,80,0
8,0,10,40,25,13
8,0,10,40,80,5
8,1,1,10,25,1
8,1,1,10,80,30
8,1,1,20,25,0
8,1,1,20,80,3
8,1,1,30,25,2
8,1,1,30,80,4
8,1,1,40,25,1
8,1,1,40,80,1
8,1,10,10,25,0
8,1,10,10,80,4
8,1,10,20,25,0
8,1,10,20,80,2
8,1,10,30,25,1
8,1,10,30,80,0
8,1,10,40,25,0
8,1,10,40,80,3
8,2,1,10,25,1
