User,interactionType,deltaAngle,direction,Time,vTime,hTime,selTime,switchTime,Length,hLength,vLength,selLength
user1,Type1,0,Down,2.7114376,0.8071606,1.3915102,0,0.51276692,1660.984,794.6868,866.2977,0
user1,Type1,0,Up,3.445165,2.0116566,0.7137384,0,0.7197698,1702.718,837.9183,864.7991,0
user1,Type1,15,Down,2.7731243,0.7892152,1.3557017,0,0.62820746,1674.517,810.2512,864.2661,0
user1,Type1,15,Up,2.5741898,1.1709116,0.6324752,0,0.77080315,1699.885,834.1354,865.7496,0
user1,Type1,30,Down,2.9382343,0.8054213,1.5264202,0,0.60639283,1684.311,823.2225,861.0886,0
user1,Type1,30,Up,2.996504,1.6395695,0.6536728,0,0.7032619,1758.344,803.3653,954.9792,0
user1,Type1,45,Down,3.1017955,0.7757827,1.3661609,0,0.95985176,1723.514,977.1589,746.3549,0
user1,Type1,45,Up,2.7454719,1.381117,0.6054431,0,0.75891174,1731.818,696.0734,1035.745,0
user1,Type2,0,Down,5.1940092,1.1943254,1.7081362,0.9807208,1.3108268,2303.519,814.535,864.5732,624.4112
user1,Type2,0,Up,4.5239265,1.62166275,0.91403425,0.55820175,1.43002775,1824.334,859.6953,890.8107,73.828005
user1,Type2,15,Down,4.4585996,1.3095796,1.6313633,0.862605,0.6550517,2095.442,806.9382,876.1708,412.333216
user1,Type2,15,Up,4.5982627,1.5439556,0.9690544,0.7639273,1.3213254,1923.088,891.0189,820.7178,211.35164
user1,Type2,30,Down,4.6690333,1.22778,1.6133499,0.9039748,0.9239286,2220.713,855.1666,855.3426,510.20334
user1,Type2,30,Up,4.781814,1.54765778,1.18426256,0.81210144,1.23779222,2084.732,951.5205,793.4594,339.751968
user1,Type2,45,Down,5.1458315,1.419747,1.84493313,0.91156638,0.969585,2148.091,1010.06,777.1843,360.846525
user1,Type2,45,Up,4.80558533,1.54917478,1.10260756,0.85466267,1.29914033,2152.858,958.5984,739.8419,454.417866
user1,Type3,0,Down,2.8860834,0.840875,1.3512312,0,0.6939772,1592.646,784.6875,807.959,0
user1,Type3,0,Up,2.7380568,1.2216814,0.8475478,0,0.66882756,1537.664,861.1321,676.532,0
user1,Type3,15,Down,2.8533659,1.0137066,1.289599,0,0.5500603,1580.542,770.4405,810.1014,0
user1,Type3,15,Up,2.9611628,1.3927402,1.2420016,0,0.52642099,1555.599,880.9398,674.6588,0
user1,Type3,30,Down,2.9841916,1.0809073,1.3947451,0,0.5085392,1676.206,825.7975,850.4088,0
user1,Type3,30,Up,3.0108263,1.3733251,0.9294736,0,0.70802751,1559.541,886.1299,673.4106,0
user1,Type3,45,Down,2.7740037,0.8443331,1.4028524,0,0.5268182,1672.79,837.176,835.6143,0
user1,Type3,45,Up,2.7387716,1.2997778,0.7602628,0,0.67873101,1559.45,792.6469,766.803,0
user10,Type1,0,Down,3.2721394,0.6435498,2.2181576,0,0.410432,1738.02,806.2306,931.7893,0
user10,Type1,0,Up,3.8098628,2.5656488,0.5703794,0,0.6738346,1690.198,850.4542,839.7442,0
user10,Type1,15,Down,2.8672287,0.5190774,1.8546127,0,0.4935386,1710.067,791.5839,918.4828,0
user10,Type1,15,Up,3.0619454,2.0782324,0.4099694,0,0.5737436,1694.559,875.0912,819.4675,0
user10,Type1,30,Down,3.00822533,0.554426,1.90336944,0,0.55042989,1730.65,820.8586,909.7919,0
user10,Type1,30,Up,3.0656105,1.9530073,0.4500953,0,0.6625079,1724.891,898.1335,826.7574,0
user10,Type1,45,Down,2.9688181,0.5167069,1.9714604,0,0.4806508,1790.662,943.1635,847.4988,0
user10,Type1,45,Up,3.5776458,2.5818239,0.3970344,0,0.5987876,1724.376,776.0729,948.3034,0
user10,Type2,0,Down,5.0501932,1.3205594,1.9544022,0.8175176,0.957714,1846.592,794.1407,873.1171,179.33412
user10,Type2,0,Up,6.50157925,2.51018425,1.68921875,0.63797175,1.6642045,1791.031,873.6998,811.1702,106.16082
user10,Type2,15,Down,6.1303483,1.6061898,2.3615663,0.8373378,1.3252545,1934.935,806.579,932.728,195.628356
user10,Type2,15,Up,7.0044965,3.01496475,0.92402013,0.86305088,2.20246075,1895.342,884.6365,803.999,206.7064
user10,Type2,30,Down,4.80927867,1.2203745,1.737264,0.9592705,0.89236967,2028.124,719.4312,1054.528,254.16485
user10,Type2,30,Up,7.9830605,3.16884925,0.82576863,1.26754138,2.72090075,1968.979,950.3596,768.8923,249.727238
user10,Type2,45,Down,4.35145686,0.94618514,1.94911971,0.579455,0.876697,1863.695,739.005,1002.717,121.973303
user10,Type2,45,Up,6.77373367,2.69114878,0.97502422,1.08963489,2.017926,2064.171,880.0676,807.562,376.541852
user10,Type3,0,Down,2.5687028,0.2339574,1.7243728,0,0.6103726,1636.56,658.0363,978.5238,0
user10,Type3,0,Up,4.1713652,1.8717224,0.6171132,0,1.6825296,1533.801,839.4818,694.3187,0
user10,Type3,15,Down,2.67078256,0.25798889,1.79940433,0,0.61338933,1683.95,610.2306,1073.719,0
user10,Type3,15,Up,4.3633497,2.180271,0.7207075,0,1.4623712,1600.978,912.5361,688.4415,0
user10,Type3,30,Down,2.8054471,0.2922732,1.8045829,0,0.708591,1712.076,625.2406,1086.835,0
user10,Type3,30,Up,4.75897011,2.35018556,0.68928567,0,1.719499,1677.707,931.6895,746.0174,0
user10,Type3,45,Down,3.63461433,1.11402567,1.782737,0,0.73785167,1840.893,673.3417,1167.551,0
user10,Type3,45,Up,4.81093438,1.83704075,0.58350875,0,2.39038488,1594.504,744.4045,850.0997,0
user2,Type1,0,Down,2.205174,0.38347825,1.32582475,0,0.49587125,1646.006,734.8379,911.1678,0
user2,Type1,0,Up,2.14077167,1.12835,0.445165,0,0.56725667,1693.083,836.3314,856.7521,0
user2,Type1,15,Down,2.3554079,0.4087751,1.5413522,0,0.4052803,1688.564,763.4875,925.0768,0
user2,Type1,15,Up,2.13736729,1.10331043,0.47153386,0,0.56252343,1736.536,854.5095,882.0267,0
user2,Type1,30,Down,2.33346044,0.37065467,1.51598911,0,0.44681678,1700.528,818.8463,881.6815,0
user2,Type1,30,Up,2.14208614,1.13677257,0.51247357,0,0.49283986,1683.835,799.7041,884.1309,0
user2,Type1,45,Down,2.19251378,0.38544,1.22144733,0,0.58562667,1750.584,922.0763,828.5077,0
user2,Type1,45,Up,2.25160717,1.29235217,0.41688683,0,0.5423685,1738.707,744.1447,994.5621,0
user2,Type2,0,Down,2.793671,0.75883583,1.19259833,0.6163365,0.84249133,1917.277,842.5813,862.304,212.391962
user2,Type2,0,Up,4.870142,1.800115,0.616361,0.666032,1.67011,1748.744,874.0564,773.2866,101.400894
user2,Type2,15,Down,3.76978433,1.13558507,1.69347667,0.7533122,0.9417904,2052.771,940.2503,829.5438,282.97619
user2,Type2,15,Up,8.756006,2.135145,1.834658,0.617732,4.068943,1877.874,982.6515,814.5233,80.6996
user2,Type2,30,Down,4.22696464,1.22260979,1.81589929,0.67395614,1.189839,2085.167,1046.419,778.2129,260.535041
user2,Type2,30,Up,5.40940633,1.81835233,0.583749,0.63986067,2.24051867,1969.902,959.4692,809.27,201.163025
user2,Type2,45,Down,4.16055772,1.03325544,1.88766794,0.74417539,1.24068139,2148.788,1077.142,774.9236,296.722194
user2,Type2,45,Up,7.723404,2.270111,0.700325,1.21787,3.402551,2114.833,1210.968,694.8792,208.986389
user2,Type3,0,Down,2.1791134,0.4441758,1.2581554,0,0.4767818,1570.288,695.6882,874.5995,0
user2,Type3,0,Up,3.6397076,2.0887308,0.7507438,0,0.8002332,1551.723,846.7173,705.0055,0
user2,Type3,15,Down,2.35580522,0.43950656,1.45304578,0,0.46325311,1630.662,688.6251,942.0369,0
user2,Type3,15,Up,3.27384486,1.72751471,0.86775571,0,0.67857443,1640.422,895.3245,745.0977,0
user2,Type3,30,Down,2.6423257,0.4639681,1.7214097,0,0.4569477,1607.369,616.1417,991.2271,0
user2,Type3,30,Up,3.88655775,1.96647975,0.7131775,0,1.33190063,1638.686,876.474,762.2115,0
user2,Type3,45,Down,2.54681711,0.459389,1.38104022,0,0.70638778,1799.512,651.6969,1147.815,0
user2,Type3,45,Up,4.5805508,2.7294184,0.983573,0,0.8675596,1653.731,857.9323,795.7983,0
user4,Type1,0,Down,3.4990702,0.9833674,1.7748132,0,0.7408896,1700.935,772.628,928.3074,0
user4,Type1,0,Up,2.0517075,1.1508905,0.458848,0,0.441969,1633.784,823.5856,810.1988,0
user4,Type1,15,Down,2.8138533,0.6505594,1.5331133,0,0.6301806,1695.683,781.6705,914.013,0
user4,Type1,15,Up,2.48877533,1.30827544,0.691228,0,0.48927189,1686.959,867.0775,819.8818,0
user4,Type1,30,Down,2.513714,0.5189714,1.4225778,0,0.5721648,1688.713,771.399,917.3139,0
user4,Type1,30,Up,2.572886,1.36773875,0.59837188,0,0.60677538,1702.767,896.5625,806.2048,0
user4,Type1,45,Down,2.89594938,0.52935763,1.74742625,0,0.6191655,1725.615,824.2569,901.3583,0
user4,Type1,45,Up,2.66853011,1.28809567,0.63405822,0,0.74637622,1719.266,962.8016,756.4649,0
user4,Type2,0,Down,5.2211692,1.2375504,1.8916502,0.6941752,1.3977934,1747.476,837.1686,842.9372,67.369758
user4,Type2,0,Up,5.0464462,1.955286,1.0446238,0.5011722,1.5453642,1866.077,844.1528,822.4943,199.42948
user4,Type2,15,Down,5.98859467,1.80167633,2.097779,0.60264544,1.486494,1829.349,856.856,877.4328,95.0605178
user4,Type2,15,Up,5.59408038,1.9703305,1.16573563,0.68976888,1.76824538,2074.118,831.3833,888.2316,354.502675
user4,Type2,30,Down,6.1510917,1.3559876,2.0183878,0.6452779,2.1314382,1884.799,960.382,825.1693,99.247879
user4,Type2,30,Up,6.44851325,2.29380213,0.94878325,0.89873463,2.30719325,1920.066,760.4348,1022.178,137.452761
user4,Type2,45,Down,6.08809486,1.61086057,2.05860757,0.631453,1.787174,1887.796,1027.046,806.1816,54.5683886
user4,Type2,45,Up,5.54418,2.00333813,0.992809,0.8092,1.73883288,2058.682,700.6468,1100.277,257.758618
user4,Type3,0,Down,2.75318433,0.861967,1.334617,0,0.55660033,1666.828,625.0699,1041.758,0
user4,Type3,0,Up,3.18637375,1.29781875,0.683434,0,1.205121,1666.69,874.5364,792.154,0
user4,Type3,15,Down,3.17117456,0.44144622,1.89799122,0,0.83173711,1683.317,829.8962,853.4208,0
user4,Type3,15,Up,4.32767756,1.57004044,0.83936956,0,1.91826767,1666.019,861.8155,804.203,0
user4,Type3,30,Down,2.99212125,0.85708088,1.44720275,0,0.68783763,1765.93,858.983,906.947,0
user4,Type3,30,Up,4.1868455,1.68918813,0.63208513,0,1.86557225,1794.291,768.677,1025.614,0
user4,Type3,45,Down,3.772265,0.6489285,2.0030954,0,1.1202411,1937.514,1220.493,717.0212,0
user4,Type3,45,Up,3.70693967,1.620195,0.55245289,0,1.53429178,1824.207,630.6608,1193.546,0
user5,Type1,0,Down,2.4684952,0.4777666,1.4909098,0,0.4998188,1651.933,708.3779,943.555,0
user5,Type1,0,Up,2.53959975,1.48473525,0.37967,0,0.6751945,1843.017,922.9373,920.0793,0
user5,Type1,15,Down,2.36499267,0.441115,1.43083878,0,0.49303889,1710.712,773.6987,937.0131,0
user5,Type1,15,Up,2.75588422,1.59575078,0.59300644,0,0.567127,1835.675,907.1198,928.5556,0
user5,Type1,30,Down,2.47600656,0.40387422,1.55136689,0,0.52076544,1767.197,907.2344,859.9621,0
user5,Type1,30,Up,3.0559883,1.9198943,0.4155204,0,0.7205736,1805.497,869.3597,936.1374,0
user5,Type1,45,Down,2.5969153,0.4001614,1.7247643,0,0.4719896,1910.2,1184.853,725.347,0
user5,Type1,45,Up,3.10414678,1.990364,0.39858533,0,0.71519744,1895.283,774.1137,1121.169,0
user5,Type2,0,Down,6.4015032,1.2816256,3.3323156,0.3867914,1.4007706,1676.039,843.2431,832.3962,0.4
user5,Type2,0,Up,7.7513455,4.15295725,1.73139375,0.354453,1.51254025,1841.757,914.2207,854.475,73.0611035
user5,Type2,15,Down,6.01129633,1.56054556,2.582242,0.33796144,1.53054733,1709.753,898.2173,810.9803,0.55555556
user5,Type2,15,Up,7.8038698,4.0580146,1.1408312,0.5406787,2.0643457,1932.561,1011.222,863.4579,57.8811404
user5,Type2,30,Down,6.1245852,1.9432781,2.5682708,0.3602614,1.2527748,1803.11,1038.412,761.2855,3.4122418
user5,Type2,30,Up,8.49408575,4.38035188,1.61154575,0.56678788,1.93539963,1971.432,1126.794,814.8221,29.8159165
user5,Type2,45,Down,5.42457513,1.33234138,2.26829075,0.29987663,1.52406638,1917.97,1060.25,855.8887,1.83128513
user5,Type2,45,Up,7.57585,3.1527875,2.01613875,0.3940485,2.012875,1944.155,1276.435,655.0192,12.7006218
user5,Type3,0,Down,2.6519156,0.2975634,1.8577914,0,0.4965608,1618.78,605.1232,1013.656,0
user5,Type3,0,Up,5.5747914,3.1592098,0.6907876,0,1.724794,1625.931,857.4435,768.4873,0
user5,Type3,15,Down,2.7239596,0.5156256,1.6648372,0,0.5434968,1674.532,620.0096,1054.523,0
user5,Type3,15,Up,5.54263113,3.07800538,0.7361545,0,1.72847125,1809.322,1022.662,786.6597,0
user5,Type3,30,Down,2.6339145,0.335398,1.7714793,0,0.5270372,1774.088,636.7211,1137.367,0
user5,Type3,30,Up,5.70697588,2.60658425,1.01738938,0,2.08300225,1823.18,1083.818,739.3621,0
user5,Type3,45,Down,2.7923519,0.3372903,1.9282522,0,0.5268094,1833.363,780.5679,1052.795,0
user5,Type3,45,Up,4.74752743,2.22641929,0.926729,0,1.59437914,1805.484,1185.179,620.3049,0
user6,Type1,0,Down,2.4421158,0.584116,1.457941,0,0.4000588,1660.84,733.3001,927.5403,0
user6,Type1,0,Up,4.256356,2.2216774,1.3377782,0,0.6969004,1764.62,864.5495,900.0707,0
user6,Type1,15,Down,2.75194717,0.64227583,1.66205067,0,0.44762067,1746.547,840.9291,905.6177,0
user6,Type1,15,Up,3.63059278,1.90493278,0.945395,0,0.780265,1804.861,847.2521,957.6088,0
user6,Type1,30,Down,2.654017,0.55604589,1.69411322,0,0.40385789,1941.454,1119.283,822.1715,0
user6,Type1,30,Up,3.29652189,1.72529233,0.76698867,0,0.80424089,1837.185,792.5496,1044.635,0
user6,Type1,45,Down,2.8342159,0.67389,1.7514664,0,0.4088595,2051.506,1344,707.5059,0
user6,Type1,45,Up,3.50670678,2.13899144,0.67826367,0,0.68945167,1969.456,660.0273,1309.429,0
user6,Type2,0,Down,8.73304,3.4129478,2.2616992,1.3175256,1.740867,1897.052,836.1801,866.5576,194.313684
user6,Type2,0,Up,5.7977554,2.43186,1.5646012,0.7002374,1.1010568,1803.391,845.3953,818.7843,139.2116
