Username,Technique,surface,Mean(PathLength),Mean(time)
User1,DT,horizontal,1336.44628,1.5450034
User1,DT,vertical,1354.40914,1.48277458
User1,ITOS,horizontal,1319.2336667,1.3529761111
User1,ITOS,vertical,1346.6526389,1.9329932222
User1,ITSS,horizontal,1319.6284,1.59073446
User1,ITSS,vertical,1362.8576,2.03724202
User10,DT,horizontal,1341.87264,1.58121104
User10,DT,vertical,1361.89364,1.5983194
User10,ITOS,horizontal,1345.9972,1.72024104
User10,ITOS,vertical,1358.57152,2.414558
User10,ITSS,horizontal,1360.1110435,1.7971067391
User10,ITSS,vertical,1391.7628696,2.3958355217
User2,DT,horizontal,1345.00236,1.54659976
User2,DT,vertical,1414.1216,1.3838916
User2,ITOS,horizontal,1340.1686,1.76811352
User2,ITOS,vertical,1356.28228,1.8584468
User2,ITSS,horizontal,1345.56032,1.78406544
User2,ITSS,vertical,1340.6198,2.20814636
User3,DT,horizontal,1335.06412,1.90901276
User3,DT,vertical,1359.14992,1.92433772
User3,ITOS,horizontal,1325.4286087,1.871153087
User3,ITOS,vertical,1354.1199167,2.4230212083
User3,ITSS,horizontal,1321.7085556,1.7220184444
User3,ITSS,vertical,1346.7021667,2.2142782778
User4,DT,horizontal,1348.48932,1.69342708
User4,DT,vertical,1348.9284,1.55158236
User4,ITOS,horizontal,1351.86056,1.9476624
User4,ITOS,vertical,1349.05316,2.42993876
User4,ITSS,horizontal,1346.96924,1.92753584
User4,ITSS,vertical,1333.62944,2.0704406
User5,DT,horizontal,1348.6235417,1.8807934167
User5,DT,vertical,1383.81208,1.989707
User5,ITOS,horizontal,1332.477,1.9967857083
User5,ITOS,vertical,1356.5675417,2.4383138333
User5,ITSS,horizontal,1351.9913939,2.0790276061
User5,ITSS,vertical,1359.1169697,2.9385800606
User6,DT,horizontal,1351.1682,1.74464728
User6,DT,vertical,1372.45308,1.69890828
User6,ITOS,horizontal,1362.4279444,1.9786268889
User6,ITOS,vertical,1342.6157778,1.9109825
User6,ITSS,horizontal,1342.8904167,1.8946764167
User6,ITSS,vertical,1342.6691667,2.3564159583
User7,DT,horizontal,1386.79465,2.32591295
User7,DT,vertical,1424.8095455,1.7446833182
User7,ITOS,horizontal,1376.8593529,2.0928157059
User7,ITOS,vertical,1355.6275294,2.7422932353
User7,ITSS,horizontal,1395.1541364,1.9842175455
User7,ITSS,vertical,1359.7205652,2.7011888261
User8,DT,horizontal,1354.7778261,1.0901482174
User8,DT,vertical,1372.282,1.2581379167
User8,ITOS,horizontal,1373.6396818,1.2743106364
User8,ITOS,vertical,1365.0525417,1.8270470417
User8,ITSS,horizontal,1356.54264,1.21773096
User8,ITSS,vertical,1360.02784,1.73908508
User9,DT,horizontal,1326.3986522,1.2373922174
User9,DT,vertical,1373.9928696,1.5870679565
User9,ITOS,horizontal,1333.6104,1.75349092
User9,ITOS,vertical,1363.00956,2.28685228
User9,ITSS,horizontal,1327.33476,1.43195052
User9,ITSS,vertical,1355.53012,1.71102788
userA,DT,horizontal,1345.82908,1.5153103
userA,DT,vertical,1424.95832,1.48660212
userA,ITOS,horizontal,1342.70428,1.724540984
userA,ITOS,vertical,1341.41096,1.5843379
userA,ITSS,horizontal,1347.785,1.77510112
userA,ITSS,vertical,1323.87884,1.81908488
userB,DT,horizontal,1346.03392,1.547102248
userB,DT,vertical,1422.08792,1.48623576
userB,ITOS,horizontal,1340.5584,1.75531948
userB,ITOS,vertical,1341.2898,1.48708012
userB,ITSS,horizontal,1348.20528,1.75314932
userB,ITSS,vertical,1324.662,1.85113448
userC,DT,horizontal,1340.40648,1.538710268
userC,DT,vertical,1425.339,1.47948804
userC,ITOS,horizontal,1338.7589167,1.7898119583
userC,ITOS,vertical,1341.1360833,1.5380821083
userC,ITSS,horizontal,1345.8207143,1.7820414286
userC,ITSS,vertical,1324.9277143,1.7374231905
userD,DT,horizontal,1342.61656,1.527247144
userD,DT,vertical,1448.698,1.49165296
userD,ITOS,horizontal,1340.476,1.80175436
userD,ITOS,vertical,1338.18816,1.598236648
userD,ITSS,horizontal,1343.53588,1.763370592
userD,ITSS,vertical,1326.38004,1.79415504
