targetScreen,ObjectSize,interactionType,User,N Rows,Mean(TimeDelta)
horizontal,15,DT,user1,25,1.31675976
horizontal,15,DT,user10,25,0.96058448
horizontal,15,DT,user2,25,1.53979164
horizontal,15,DT,user3,25,1.34760736
horizontal,15,DT,user4,25,1.17317024
horizontal,15,DT,user5,25,1.02065068
horizontal,15,DT,user6,25,1.36037124
horizontal,15,DT,user7,25,1.16588204
horizontal,15,DT,user8,25,1.27547088
horizontal,15,DT,user9,25,1.12139336
horizontal,15,DT,userA,25,1.47356168
horizontal,15,DT,userB,25,1.4296448
horizontal,15,DT,userC,25,1.4399622
horizontal,15,DT,userD,25,1.48404592
horizontal,15,ITOS,user1,25,1.0094526
horizontal,15,ITOS,user10,25,1.123928
horizontal,15,ITOS,user2,25,1.40947416
horizontal,15,ITOS,user3,25,1.41837116
horizontal,15,ITOS,user4,25,1.613478
horizontal,15,ITOS,user5,25,0.78528696
horizontal,15,ITOS,user6,25,1.31668348
horizontal,15,ITOS,user7,25,1.402628
horizontal,15,ITOS,user8,25,1.03420948
horizontal,15,ITOS,user9,25,0.94761284
horizontal,15,ITOS,userA,25,0.920070576
horizontal,15,ITOS,userB,25,0.92347024
horizontal,15,ITOS,userC,25,0.912125044
horizontal,15,ITOS,userD,25,0.918466576
horizontal,15,ITSS,user1,25,1.4931758
horizontal,15,ITSS,user10,22,1.7518278636
horizontal,15,ITSS,user2,25,1.69490688
horizontal,15,ITSS,user3,24,2.2511985
horizontal,15,ITSS,user4,25,1.76884248
horizontal,15,ITSS,user5,25,1.7551392
horizontal,15,ITSS,user6,25,1.7024264
horizontal,15,ITSS,user7,21,1.6338619524
horizontal,15,ITSS,user8,25,1.3791218
horizontal,15,ITSS,user9,25,1.51600796
horizontal,15,ITSS,userA,25,1.308350072
horizontal,15,ITSS,userB,25,1.299354452
horizontal,15,ITSS,userC,25,1.302822208
horizontal,15,ITSS,userD,25,1.322965724
horizontal,30,DT,user1,25,0.91936896
horizontal,30,DT,user10,25,0.72784792
horizontal,30,DT,user2,25,0.93693728
horizontal,30,DT,user3,25,0.84631652
horizontal,30,DT,user4,25,0.75928404
horizontal,30,DT,user5,25,0.74874504
horizontal,30,DT,user6,25,0.88360668
horizontal,30,DT,user7,25,0.8397612
horizontal,30,DT,user8,25,0.85926884
horizontal,30,DT,user9,25,0.84438368
horizontal,30,DT,userA,25,1.051054632
horizontal,30,DT,userB,25,1.085420456
horizontal,30,DT,userC,25,1.06062396
horizontal,30,DT,userD,25,1.084954596
horizontal,30,ITOS,user1,25,0.62842432
horizontal,30,ITOS,user10,25,0.77054748
horizontal,30,ITOS,user2,25,1.20207852
horizontal,30,ITOS,user3,25,0.77125896
horizontal,30,ITOS,user4,25,1.09577708
horizontal,30,ITOS,user5,25,0.78267
horizontal,30,ITOS,user6,25,1.02181892
horizontal,30,ITOS,user7,25,0.77743192
horizontal,30,ITOS,user8,25,1.03385932
horizontal,30,ITOS,user9,25,0.70841184
horizontal,30,ITOS,userA,25,0.545927828
horizontal,30,ITOS,userB,25,0.526983288
horizontal,30,ITOS,userC,25,0.523122332
horizontal,30,ITOS,userD,25,0.542719644
horizontal,30,ITSS,user1,25,1.18462428
horizontal,30,ITSS,user10,25,1.34913676
horizontal,30,ITSS,user2,25,1.21178612
horizontal,30,ITSS,user3,25,1.68040112
horizontal,30,ITSS,user4,24,1.9295906667
horizontal,30,ITSS,user5,24,1.7347783333
horizontal,30,ITSS,user6,25,1.69370668
horizontal,30,ITSS,user7,25,1.15813452
horizontal,30,ITSS,user8,25,1.5600506
horizontal,30,ITSS,user9,25,0.8892542
horizontal,30,ITSS,userA,25,1.056535776
horizontal,30,ITSS,userB,25,1.08929012
horizontal,30,ITSS,userC,25,1.091505284
horizontal,30,ITSS,userD,25,1.080836744
horizontal,60,DT,user1,25,0.68461372
horizontal,60,DT,user10,25,0.63418128
horizontal,60,DT,user2,25,0.73441688
horizontal,60,DT,user3,25,0.94135996
horizontal,60,DT,user4,25,0.6787974
horizontal,60,DT,user5,25,0.65748836
horizontal,60,DT,user6,25,0.77981628
horizontal,60,DT,user7,25,0.75571144
horizontal,60,DT,user8,25,0.59809308
horizontal,60,DT,user9,25,0.70837364
horizontal,60,DT,userA,25,0.791598652
horizontal,60,DT,userB,25,0.81989322
horizontal,60,DT,userC,25,0.84784684
horizontal,60,DT,userD,25,0.81282438
horizontal,60,ITOS,user1,25,0.49488304
horizontal,60,ITOS,user10,25,0.65987756
horizontal,60,ITOS,user2,25,0.94047124
horizontal,60,ITOS,user3,25,0.84381932
horizontal,60,ITOS,user4,25,0.68333504
horizontal,60,ITOS,user5,25,0.49429812
horizontal,60,ITOS,user6,25,1.00619876
horizontal,60,ITOS,user7,25,0.76890908
horizontal,60,ITOS,user8,25,0.641865
horizontal,60,ITOS,user9,25,0.71914696
horizontal,60,ITOS,userA,25,0.411979432
horizontal,60,ITOS,userB,25,0.380500928
horizontal,60,ITOS,userC,25,0.373438624
horizontal,60,ITOS,userD,25,0.379367952
horizontal,60,ITSS,user1,25,1.19820396
horizontal,60,ITSS,user10,23,1.5591613043
horizontal,60,ITSS,user2,25,1.51171104
horizontal,60,ITSS,user3,25,1.6899758
horizontal,60,ITSS,user4,25,1.28110556
horizontal,60,ITSS,user5,24,1.0980504167
horizontal,60,ITSS,user6,25,1.6484074
horizontal,60,ITSS,user7,25,1.23009372
horizontal,60,ITSS,user8,25,1.19999568
horizontal,60,ITSS,user9,25,0.94435312
horizontal,60,ITSS,userA,25,1.0952245
horizontal,60,ITSS,userB,25,1.097943476
horizontal,60,ITSS,userC,25,1.11353234
horizontal,60,ITSS,userD,25,1.09324038
vertical,15,DT,user1,26,1.2175642692
vertical,15,DT,user10,26,0.802381
vertical,15,DT,user2,26,1.5397114231
vertical,15,DT,user3,26,1.2746809231
vertical,15,DT,user4,25,0.94617392
vertical,15,DT,user5,26,0.9687161538
vertical,15,DT,user6,26,1.2257393077
vertical,15,DT,user7,25,1.119561
vertical,15,DT,user8,26,1.1981061923
vertical,15,DT,user9,26,1.0571888077
vertical,15,DT,userA,26,1.3335398846
vertical,15,DT,userB,26,1.3623189615
vertical,15,DT,userC,26,1.3498408462
vertical,15,DT,userD,26,1.3631228462
vertical,15,ITOS,user1,26,0.4819678077
vertical,15,ITOS,user10,25,0.54459976
vertical,15,ITOS,user2,25,0.88209844
vertical,15,ITOS,user3,26,0.6362683077
vertical,15,ITOS,user4,25,0.84404216
vertical,15,ITOS,user5,25,0.60041208
vertical,15,ITOS,user6,26,0.8375229231
vertical,15,ITOS,user7,23,1.0205020435
vertical,15,ITOS,user8,25,1.01265164
vertical,15,ITOS,user9,25,0.56473412
vertical,15,ITOS,userA,26,0.4918795065
vertical,15,ITOS,userB,26,0.4829911808
vertical,15,ITOS,userC,26,0.5141493731
vertical,15,ITOS,userD,26,0.4826159269
vertical,15,ITSS,user1,25,2.07907984
vertical,15,ITSS,user10,23,2.3737351304
vertical,15,ITSS,user2,24,2.4867435417
vertical,15,ITSS,user3,24,2.606307
vertical,15,ITSS,user4,22,2.4753775455
vertical,15,ITSS,user5,24,2.5879701667
vertical,15,ITSS,user6,23,2.623597
vertical,15,ITSS,user7,20,2.72896685
vertical,15,ITSS,user8,24,2.0322179583
vertical,15,ITSS,user9,16,2.5548146875
vertical,15,ITSS,userA,26,1.9656641154
vertical,15,ITSS,userB,26,1.9637570769
vertical,15,ITSS,userC,26,1.9379582308
vertical,15,ITSS,userD,26,1.9513446538
vertical,30,DT,user1,26,0.9246528077
vertical,30,DT,user10,26,0.7140372308
vertical,30,DT,user2,25,0.8283424
vertical,30,DT,user3,26,0.8175915
vertical,30,DT,user4,26,0.8358694615
vertical,30,DT,user5,26,0.7518975
vertical,30,DT,user6,26,1.0334479231
vertical,30,DT,user7,26,0.8442377308
vertical,30,DT,user8,26,0.7671126154
vertical,30,DT,user9,26,0.7212447308
vertical,30,DT,userA,26,1.0736555885
vertical,30,DT,userB,26,1.0666946769
vertical,30,DT,userC,26,1.0633415654
vertical,30,DT,userD,26,1.06437445
vertical,30,ITOS,user1,26,0.4057887308
vertical,30,ITOS,user10,26,0.7440198846
vertical,30,ITOS,user2,25,0.79846044
vertical,30,ITOS,user3,26,0.7044456923
vertical,30,ITOS,user4,25,0.69404764
vertical,30,ITOS,user5,26,0.8255663077
vertical,30,ITOS,user6,26,0.8605592308
vertical,30,ITOS,user7,25,0.662076
vertical,30,ITOS,user8,23,0.7497989565
vertical,30,ITOS,user9,25,0.73822316
vertical,30,ITOS,userA,26,0.4765124462
vertical,30,ITOS,userB,26,0.3965078231
vertical,30,ITOS,userC,26,0.4665311962
vertical,30,ITOS,userD,26,0.3900070385
vertical,30,ITSS,user1,25,1.8710274
vertical,30,ITSS,user10,26,1.8229934231
vertical,30,ITSS,user2,25,2.42846464
vertical,30,ITSS,user3,25,2.26204796
vertical,30,ITSS,user4,25,2.51604936
vertical,30,ITSS,user5,23,2.3894093478
vertical,30,ITSS,user6,24,2.079828125
vertical,30,ITSS,user7,24,2.2232848333
vertical,30,ITSS,user8,24,1.6608727083
vertical,30,ITSS,user9,24,1.7323887083
vertical,30,ITSS,userA,26,1.7191712692
vertical,30,ITSS,userB,26,1.7189161154
vertical,30,ITSS,userC,26,1.7185917692
vertical,30,ITSS,userD,26,1.7126730769
vertical,60,DT,user1,26,0.6859357308
vertical,60,DT,user10,26,0.6670020769
vertical,60,DT,user2,26,0.7348944615
vertical,60,DT,user3,26,0.7106345
vertical,60,DT,user4,26,0.7173351154
vertical,60,DT,user5,26,0.6226543846
vertical,60,DT,user6,25,0.75026308
vertical,60,DT,user7,26,0.7586354615
vertical,60,DT,user8,26,0.5994025769
vertical,60,DT,user9,26,0.6993671538
vertical,60,DT,userA,26,0.8256159962
vertical,60,DT,userB,26,0.8467661077
vertical,60,DT,userC,26,0.8358094846
vertical,60,DT,userD,26,0.8494768654
vertical,60,ITOS,user1,25,0.46355688
vertical,60,ITOS,user10,22,0.915173
vertical,60,ITOS,user2,26,0.4955175769
vertical,60,ITOS,user3,26,0.7260827308
vertical,60,ITOS,user4,26,0.5865127692
vertical,60,ITOS,user5,26,0.5015991923
vertical,60,ITOS,user6,24,0.959923625
vertical,60,ITOS,user7,25,0.7732754
vertical,60,ITOS,user8,25,0.5983364
vertical,60,ITOS,user9,26,0.9331356923
vertical,60,ITOS,userA,26,0.4388917615
vertical,60,ITOS,userB,26,0.4392530115
vertical,60,ITOS,userC,26,0.4520606462
vertical,60,ITOS,userD,26,0.4295793077
vertical,60,ITSS,user1,25,1.73004024
vertical,60,ITSS,user10,26,1.7361371154
vertical,60,ITSS,user2,22,2.9093643182
vertical,60,ITSS,user3,25,1.98519732
vertical,60,ITSS,user4,24,1.4848207917
vertical,60,ITSS,user5,21,2.4355905238
vertical,60,ITSS,user6,22,1.6485716818
vertical,60,ITSS,user7,21,1.7290402381
vertical,60,ITSS,user8,25,1.5595156
vertical,60,ITSS,user9,25,1.77069512
vertical,60,ITSS,userA,26,1.5735409615
vertical,60,ITSS,userB,26,1.5694392308
vertical,60,ITSS,userC,26,1.5873506538
vertical,60,ITSS,userD,26,1.5796131154
